merchant_id,merchant_name,merchant_category,volume_weight,refund_risk_multiplier,chargeback_risk_multiplier
M00436,Ursa Expeditions,Travel,0.002123,0.664,0.869
M00437,Perga Getaways,Travel,0.002725,1.024,1.366
M00438,Orbix Voyages,Travel,0.002283,1.23,1.023
M00439,Northwind Travels,Travel,0.003271,0.672,1.011
M00440,Volara Journeys,Travel,0.002182,0.454,2.199
M00441,Quanta Stays,Travel,0.002368,0.834,1.058
M00442,Pinnacle Voyages,Travel,0.002369,1.902,1.113
M00443,Zephyr Stays,Travel,0.002294,0.474,0.354
M00444,Vespera Journeys,Travel,0.002502,1.193,0.858
M00445,Juniper Voyages,Travel,0.002559,0.25,0.563
